Rank,Time,"Surname, first name "
580,39:34:33 h ," Douchet, Etienne"
581,39:34:46 h ," Byiers, Bruce"
582,39:35:47 h ," Chataing, Sebastien"
583,39:36:20 h ," Belzunce, Benoit"
584,39:36:25 h ," Mieusset, Christophe"
585,39:37:43 h ," Edøy, Odd"
586,39:37:46 h ," Lalus, Robert"
587,39:37:57 h ," Gadiot, Frederique"
588,39:38:58 h ," Dhalluin, Nicolas"
589,39:39:17 h ," Shimmons, Aaron"
590,39:40:02 h ," Thiriet, Fabien"
591,39:40:08 h ," Delaitre, Olivier Rene Denis"
592,39:40:10 h ," Szafraniec, Artur"
593,39:40:14 h ," Jaby, Nicolas"
594,39:40:33 h ," Tabbernor, David"
595,39:41:21 h ," Alfieri, Nicola"
596,39:41:27 h ," Dick, Demeter"
597,39:41:39 h ," Ah-Son, Jean-Francois"
598,39:43:13 h ," Schlosser, Frank"
599,39:43:15 h ," Schillinger, Laurent"
600,39:44:29 h ," Demba, Daoud"
601,39:44:38 h ," Taillandier, Arnaud"
