Rank,Time,"Surname, first name"
545,36:45:02 h,"Muniz Gonzalez Manjoya, Diego"
546,36:45:03 h,"Lozano Serrano, Sergio"
547,36:45:12 h,"Maino, Mattia"
548,36:46:39 h,"Villeneau, Julien"
549,36:47:11 h,"Kazlauskas, Marius"
550,36:48:13 h,"Benvenuto, Michele"
551,36:48:42 h,"de La Bourdonnaye, Eloi"
552,36:49:10 h,"Le Devehat, Arnaud"
553,36:49:36 h,"Helfer, Arthur"
554,36:49:39 h,"Borad, Jorge"
555,36:51:00 h,"Sembo, Tsubasa"
556,36:51:40 h,"Crettex, Rene"
557,36:52:14 h,"Utzmann, Robin"
558,36:54:14 h,"Nishioka, Kenichi"
559,36:54:27 h,"Neves, Nelson"
560,36:54:33 h,"Loeuillieux, Pierre"
561,36:55:24 h,"Murphy, Chris"
562,36:55:30 h,"Jouin, Kevin"
563,36:55:43 h,"Combart, Bruno"
564,37:00:46 h,"Vargas Diaz, Hernan"
565,37:01:18 h,"Oswald, Manfred"
566,37:01:44 h,"Palouzie Ibanez, Jordi"
567,37:01:59 h,"Bonetto, Paolo"
568,37:02:25 h,"Orsag, Matej"
569,37:04:00 h,"Chauvin, Jerome"
570,37:05:48 h,"Brüschweiler, Roman"
571,37:05:49 h,"Nour, Noomane"
572,37:05:57 h,"Riera Sune, Josep"
573,37:06:25 h,"Lamprecht, Amy"
574,37:08:58 h,"Ching, Wing-Yee (Flora)"
575,37:09:36 h,"Dupire, Irwin"
576,37:10:25 h,"Myrskylä, Eetu"
577,37:11:43 h,"Jurado, Damien"
578,37:11:47 h,"Grillo, Angelo"
579,37:14:56 h,"Hyslop, Stuart"
580,37:15:04 h,"Norendahl, Tony"
581,37:16:32 h,"Francois, Benjamin"
582,37:16:35 h,"Gobert, Yann"
583,37:16:49 h,"Hinds, Gareth"
584,37:16:53 h,"Canto Valor, Raul"
585,37:17:06 h,"Charita, Yvan"
586,37:17:12 h,"Sanchez Carmona, Alberto"
587,37:17:20 h,"Lau, Hok-Yee (Leo)"
588,37:18:43 h,"Colomban, Thierry"
589,37:20:05 h,"Yjord, Niklas"
590,37:20:40 h,"Martin Lopez, Manuel"
591,37:20:50 h,"Canegallo, Claudio"
592,37:20:58 h,"Mayo Lopez, David"
593,37:21:02 h,"Aguilera Dominguez, Jose"
594,37:21:47 h,"Gauthier, Laure"
595,37:22:26 h,"Andre, Jacky"
596,37:22:27 h,"Glaze, Andrew"
597,37:23:37 h,"Dailleau, Yannick"
598,37:24:54 h,"Fabien, Alice"
599,37:25:50 h,"Cochetel, Raphael"
600,37:26:47 h,"Osorio, Paulo"
601,37:26:57 h,"Janowski, Mariusz"
602,37:28:54 h,"Schuster, Martin"
